ticker,rating_date,rating,rating_value,close_price,pe_ratio,market_cap,revenue,net_income,assets,debt,total_assets,total_liabilities,total_revenue
AAPL,2025-02-11,period,0m,227.64999389648438,36.077652,3419781201920,394328000000.0,99803000000.0,364980000000.0,308030000000.0,364980000000.0,308030000000.0,394328000000.0
AAPL,2025-02-11,strongBuy,7,227.64999389648438,36.077652,3419781201920,394328000000.0,99803000000.0,364980000000.0,308030000000.0,364980000000.0,308030000000.0,394328000000.0
AAPL,2025-02-11,buy,21,227.64999389648438,36.077652,3419781201920,394328000000.0,99803000000.0,364980000000.0,308030000000.0,364980000000.0,308030000000.0,394328000000.0
AAPL,2025-02-11,hold,14,227.64999389648438,36.077652,3419781201920,394328000000.0,99803000000.0,364980000000.0,308030000000.0,364980000000.0,308030000000.0,394328000000.0
AAPL,2025-02-11,sell,2,227.64999389648438,36.077652,3419781201920,394328000000.0,99803000000.0,364980000000.0,308030000000.0,364980000000.0,308030000000.0,394328000000.0
AAPL,2025-02-11,strongSell,2,227.64999389648438,36.077652,3419781201920,394328000000.0,99803000000.0,364980000000.0,308030000000.0,364980000000.0,308030000000.0,394328000000.0
GOOGL,2025-02-11,period,0m,186.47000122070312,23.192787,2282579296256,350018000000.0,100118000000.0,450256000000.0,125172000000.0,450256000000.0,125172000000.0,350018000000.0
GOOGL,2025-02-11,strongBuy,15,186.47000122070312,23.192787,2282579296256,350018000000.0,100118000000.0,450256000000.0,125172000000.0,450256000000.0,125172000000.0,350018000000.0
GOOGL,2025-02-11,buy,37,186.47000122070312,23.192787,2282579296256,350018000000.0,100118000000.0,450256000000.0,125172000000.0,450256000000.0,125172000000.0,350018000000.0
GOOGL,2025-02-11,hold,12,186.47000122070312,23.192787,2282579296256,350018000000.0,100118000000.0,450256000000.0,125172000000.0,450256000000.0,125172000000.0,350018000000.0
GOOGL,2025-02-11,sell,0,186.47000122070312,23.192787,2282579296256,350018000000.0,100118000000.0,450256000000.0,125172000000.0,450256000000.0,125172000000.0,350018000000.0
GOOGL,2025-02-11,strongSell,0,186.47000122070312,23.192787,2282579296256,350018000000.0,100118000000.0,450256000000.0,125172000000.0,450256000000.0,125172000000.0,350018000000.0
AMZN,2025-02-11,period,0m,233.13999938964844,42.15913,2470747570176,637959000000.0,59248000000.0,624894000000.0,338924000000.0,624894000000.0,338924000000.0,637959000000.0
AMZN,2025-02-11,strongBuy,17,233.13999938964844,42.15913,2470747570176,637959000000.0,59248000000.0,624894000000.0,338924000000.0,624894000000.0,338924000000.0,637959000000.0
AMZN,2025-02-11,buy,47,233.13999938964844,42.15913,2470747570176,637959000000.0,59248000000.0,624894000000.0,338924000000.0,624894000000.0,338924000000.0,637959000000.0
AMZN,2025-02-11,hold,4,233.13999938964844,42.15913,2470747570176,637959000000.0,59248000000.0,624894000000.0,338924000000.0,624894000000.0,338924000000.0,637959000000.0
AMZN,2025-02-11,sell,0,233.13999938964844,42.15913,2470747570176,637959000000.0,59248000000.0,624894000000.0,338924000000.0,624894000000.0,338924000000.0,637959000000.0
AMZN,2025-02-11,strongSell,0,233.13999938964844,42.15913,2470747570176,637959000000.0,59248000000.0,624894000000.0,338924000000.0,624894000000.0,338924000000.0,637959000000.0
